"Comune";"Area_provenienza";"Paese_provenienza";"MeasuresLevel";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018"
"Abbadia San Salvatore";"Paesi delle Americhe";"Altri Paesi America Settentrionale";"Arrivi";"";"";"";"";"";"";"2.0";"";"";"";"";"";"";""
"Abbadia San Salvatore";"Paesi delle Americhe";"Altri Paesi Centro-Sud America";"Arrivi";"";"";"";"";"";"";"";"";"14.0";"1.0";"4.0";"4.0";"6.0";"37.0"
"Abbadia San Salvatore";"Paesi delle Americhe";"Argentina";"Arrivi";"1.0";"7.0";"2.0";"4.0";"3.0";"3.0";"3.0";"2.0";"";"4.0";"4.0";"";"3.0";"5.0"
"Abbadia San Salvatore";"Paesi delle Americhe";"Brasile";"Arrivi";"7.0";"11.0";"10.0";"16.0";"1.0";"3.0";"14.0";"3.0";"4.0";"11.0";"5.0";"8.0";"35.0";"41.0"
"Abbadia San Salvatore";"Paesi delle Americhe";"Canada";"Arrivi";"16.0";"36.0";"25.0";"13.0";"1.0";"4.0";"";"32.0";"4.0";"5.0";"13.0";"20.0";"19.0";"3.0"
"Abbadia San Salvatore";"Paesi delle Americhe";"Messico";"Arrivi";"15.0";"4.0";"";"";"";"1.0";"";"";"";"";"2.0";"1.0";"8.0";""
"Abbadia San Salvatore";"Paesi delle Americhe";"Paese Americhe non indicato";"Arrivi";"1.0";"";"";"";"";"1.0";"";"";"";"";"";"";"";""
"Abbadia San Salvatore";"Paesi delle Americhe";"Stati Uniti d'America";"Arrivi";"71.0";"63.0";"104.0";"41.0";"32.0";"11.0";"15.0";"21.0";"5.0";"9.0";"67.0";"36.0";"41.0";"42.0"
"Abbadia San Salvatore";"Paesi delle Americhe";"Venezuela";"Arrivi";"";"";"";"";"1.0";"1.0";"";"4.0";"";"2.0";"";"1.0";"4.0";"1.0"
"Abbadia San Salvatore";"Unione Europea";"Austria";"Arrivi";"25.0";"39.0";"14.0";"85.0";"10.0";"9.0";"25.0";"6.0";"8.0";"41.0";"14.0";"26.0";"29.0";"14.0"
"Abbadia San Salvatore";"Unione Europea";"Belgio";"Arrivi";"13.0";"30.0";"20.0";"9.0";"29.0";"3.0";"20.0";"9.0";"51.0";"9.0";"18.0";"5.0";"29.0";"37.0"
"Abbadia San Salvatore";"Unione Europea";"Bulgaria";"Arrivi";"1.0";"1.0";"";"";"1.0";"3.0";"6.0";"6.0";"";"";"2.0";"6.0";"3.0";"1.0"
"Abbadia San Salvatore";"Unione Europea";"Cipro";"Arrivi";"";"";"";"";"";"";"";"";"";"";"";"2.0";"1.0";""
